"","Sum.Sq","Mean.Sq","NumDF","DenDF","F.value","Pr..F.","source"
"nhi_T",0.669615624219884,0.669615624219884,1,31.0000011764183,0.2795696099112,0.600749033976849,"nhi_T"
"nhi_B",0.7872805825506,0.7872805825506,1,31.0000045511756,1.2099132481568,0.279818050090702,"nhi_B"
"noi_T",1.53137015512208,1.53137015512208,1,31.0000053200875,2.83480928194068,0.102287089872371,"noi_T"
"noi_B",0.00160981454484109,0.00160981454484109,1,31.0000005132036,0.00516366801958993,0.943176001434212,"noi_B"
"ammonifd_T",0.167428424193636,0.167428424193636,1,62.0000555757748,6.66981040285377,0.0121803773044604,"ammonifd_T"
"ammonifd_B",0.0574407688482024,0.0574407688482024,1,31.0000089153567,2.84630435579981,0.101623335544493,"ammonifd_B"
"nitrifd_T",0.0670376736449712,0.0670376736449712,1,31.00000383838,0.86544958561173,0.359406517188159,"nitrifd_T"
"nitrifd_B",0.0172875339355488,0.0172875339355488,1,31.0000112334202,1.19090216932278,0.28355711895291,"nitrifd_B"
"minzd_T",0.0225792217117215,0.0225792217117215,1,31.0000122171622,0.275720090719522,0.603255808780192,"minzd_T"
"minzd_B",0.137750854625544,0.137750854625544,1,31.0000010084908,3.56718823607469,0.0683199589025107,"minzd_B"
